Scn , Algo , IS , Ndrones , wCoverage , wDist , OOPenalty , InitCov , FinCov , InitTotDist , FinTotDist , InitMeanDist , FinMeanDist , InitMedianDist , FinMedianDist , InitOverflow , FinOverflow , InitOverlap , FinOverlap , Time
s1 , GA , 1 , 10 , 1 , 0 , 0 , 67.29 , 100 , 3112.844 , 3109.217 , 311.2844 , 310.9217 , 329.6332 , 301.6026 , 51.66 , 25.01 , 0.13 , 43.98 , 789.75
s1 , GA , 1 , 12 , 1 , 0 , 0 , 73.98 , 100 , 3518.392 , 3617.525 , 293.1993 , 301.4604 , 301.786 , 316.0176 , 40.03 , 29.44 , 0.08 , 40.35 , 638.985
s1 , GA , 1 , 2 , 1 , 0 , 0 , 21.94 , 40.05 , 475.5999 , 564.7426 , 237.8 , 282.3713 , 237.8 , 282.3713 , 78.44 , 0 , 0 , 0 , 209.304
s1 , GA , 1 , 4 , 1 , 0 , 0 , 57.24 , 76.12 , 1322.591 , 1215.666 , 330.6476 , 303.9165 , 335.7056 , 305.2331 , 36.72 , 2.57 , 0.04 , 2.08 , 153.86
s1 , GA , 1 , 6 , 1 , 0 , 0 , 69.59 , 95.8 , 1760.005 , 1828.028 , 293.3342 , 304.6714 , 287.3185 , 304.5386 , 45.97 , 9.37 , 0.04 , 14.17 , 511.378
s1 , GA , 1 , 8 , 1 , 0 , 0 , 75.61 , 98.07 , 2457.351 , 2483.603 , 307.1689 , 310.4503 , 306.4045 , 300.3744 , 37.46 , 23.37 , 0.05 , 24.67 , 437.341
s1 , GenSA , 1 , 10 , 1 , 0 , 0 , 67.29 , 100 , 3112.844 , 3018.258 , 311.2844 , 301.8258 , 329.6332 , 293.7398 , 51.66 , 31.41 , 0.13 , 47.67 , 377.513
s1 , GenSA , 1 , 12 , 1 , 0 , 0 , 73.98 , 100 , 3518.392 , 3663.698 , 293.1993 , 305.3082 , 301.786 , 309.1814 , 40.03 , 39.15 , 0.08 , 48.77 , 274.615
s1 , GenSA , 1 , 2 , 1 , 0 , 0 , 21.94 , 40.05 , 475.5999 , 666.5503 , 237.8 , 333.2751 , 237.8 , 333.2751 , 78.44 , 0 , 0 , 0 , 743.393
s1 , GenSA , 1 , 4 , 1 , 0 , 0 , 57.24 , 76.48 , 1322.591 , 1232.223 , 330.6476 , 308.0556 , 335.7056 , 319.9648 , 36.72 , 2.27 , 0.04 , 2.49 , 1000.784
s1 , GenSA , 1 , 6 , 1 , 0 , 0 , 69.59 , 96.42 , 1760.005 , 1854.805 , 293.3342 , 309.1342 , 287.3185 , 313.9564 , 45.97 , 9.86 , 0.04 , 14.77 , 1000.734
s1 , GenSA , 1 , 8 , 1 , 0 , 0 , 75.61 , 99.9 , 2457.351 , 2510.694 , 307.1689 , 313.8367 , 306.4045 , 292.6896 , 37.46 , 32.14 , 0.05 , 27.66 , 1000.761
s4 , GA , 1 , 10 , 1 , 0.5 , 0 , 67.29 , 99.08 , 3112.844 , 2657.054 , 311.2844 , 265.7054 , 329.6332 , 269.8201 , 51.66 , 17.82 , 0.13 , 18.98 , 554.54
s4 , GA , 1 , 12 , 1 , 0.5 , 0 , 73.98 , 99.86 , 3518.392 , 3268.055 , 293.1993 , 272.3379 , 301.786 , 286.09 , 40.03 , 19.04 , 0.08 , 30.96 , 744.604
s4 , GA , 1 , 2 , 1 , 0.5 , 0 , 21.94 , 39.36 , 475.5999 , 488.7348 , 237.8 , 244.3674 , 237.8 , 244.3674 , 78.44 , 1.38 , 0 , 0.39 , 202.508
s4 , GA , 1 , 4 , 1 , 0.5 , 0 , 57.24 , 76.11 , 1322.591 , 1194.661 , 330.6476 , 298.6652 , 335.7056 , 299.303 , 36.72 , 3.4 , 0.04 , 1.86 , 175.196
s4 , GA , 1 , 6 , 1 , 0.5 , 0 , 69.59 , 95.18 , 1760.005 , 1796.112 , 293.3342 , 299.352 , 287.3185 , 296.2449 , 45.97 , 8.3 , 0.04 , 15.1 , 481.241
s4 , GA , 1 , 8 , 1 , 0.5 , 0 , 75.61 , 98.37 , 2457.351 , 2423.058 , 307.1689 , 302.8823 , 306.4045 , 290.7019 , 37.46 , 22.35 , 0.05 , 28.01 , 372.773
s4 , GenSA , 1 , 10 , 1 , 0.5 , 0 , 67.29 , 99.26 , 3112.844 , 2520.761 , 311.2844 , 252.0761 , 329.6332 , 262.8832 , 51.66 , 22.74 , 0.13 , 20.67 , 604.635
s4 , GenSA , 1 , 12 , 1 , 0.5 , 0 , 73.98 , 97.18 , 3518.392 , 2755.304 , 293.1993 , 229.6086 , 301.786 , 234.5432 , 40.03 , 14.16 , 0.08 , 33.78 , 174.486
s4 , GenSA , 1 , 2 , 1 , 0.5 , 0 , 21.94 , 39.56 , 475.5999 , 493.2119 , 237.8 , 246.606 , 237.8 , 246.606 , 78.44 , 0.87 , 0 , 0.39 , 711.265
s4 , GenSA , 1 , 4 , 1 , 0.5 , 0 , 57.24 , 76.16 , 1322.591 , 1185.265 , 330.6476 , 296.3162 , 335.7056 , 295.8478 , 36.72 , 2.76 , 0.04 , 2.43 , 1001.125
s4 , GenSA , 1 , 6 , 1 , 0.5 , 0 , 69.59 , 96.09 , 1760.005 , 1813.751 , 293.3342 , 302.2918 , 287.3185 , 301.8078 , 45.97 , 9.31 , 0.04 , 15.75 , 1000.765
s4 , GenSA , 1 , 8 , 1 , 0.5 , 0 , 75.61 , 98.7 , 2457.351 , 2218.197 , 307.1689 , 277.2746 , 306.4045 , 272.3105 , 37.46 , 21.92 , 0.05 , 20.84 , 1000.842
