"","x","y","height","r","area","overlap","overflow","forwardOverlap","backwardOverlap","regionX","regionY","regionArea","regionCoveredArea","regionCıııoveredPercentage","regionOverlap","regionOverflow","regionCoveredPercentage"
"1",23,118,91,52,8645,0,2034,0,0,400,300,120000,118514,0,42029,34164,98.7616666666667
"2",359,88,149,86,23485,0,4847,0,0,400,300,120000,118514,0,42029,34164,98.7616666666667
"3",34,62,51,29,2725,944,0,1,0,400,300,120000,118514,0,42029,34164,98.7616666666667
"4",40,242,129,74,17417,27,4102,0,0,400,300,120000,118514,0,42029,34164,98.7616666666667
"5",26,44,75,43,5941,2634,886,0,0,400,300,120000,118514,0,42029,34164,98.7616666666667
"6",111,143,125,72,16493,3313,0,0,0,400,300,120000,118514,0,42029,34164,98.7616666666667
"7",269,148,144,83,21869,5623,0,0,0,400,300,120000,118514,0,42029,34164,98.7616666666667
"8",233,13,125,72,16493,1224,6442,0,0,400,300,120000,118514,0,42029,34164,98.7616666666667
"9",144,82,141,81,20841,12560,0,0,0,400,300,120000,118514,0,42029,34164,98.7616666666667
"10",46,9,134,77,18853,7562,9784,0,0,400,300,120000,118514,0,42029,34164,98.7616666666667
"11",183,253,151,87,24033,5157,4134,0,0,400,300,120000,118514,0,42029,34164,98.7616666666667
"12",325,234,148,85,22941,8014,1935,0,0,400,300,120000,118514,0,42029,34164,98.7616666666667
